"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 27 18:56:38 GMT 2025","Thu Mar 27 18:56:41 GMT 2025","2323","Surefire suite","Surefire test","com.example.teamcity.api.ProjectSearchTest","com.example.teamcity.api.ProjectSearchTest","userShouldBeAbleToFindDeeplyNestedProjectByNameTest","User should be able to find a project by name when it's deeply nested in hierarchy",""
"failed","Thu Mar 27 18:56:21 GMT 2025","Thu Mar 27 18:56:21 GMT 2025","75","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userCannotCreateProjectWithEachSpecialCharacterInIdTest","User should not be able to create a Project with special characters in ID",""
"failed","Thu Mar 27 18:56:21 GMT 2025","Thu Mar 27 18:56:22 GMT 2025","63","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userCannotCreateProjectWithEachSpecialCharacterInIdTest","User should not be able to create a Project with special characters in ID",""
"failed","Thu Mar 27 18:56:23 GMT 2025","Thu Mar 27 18:56:23 GMT 2025","46","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userCannotCreateProjectWithEachSpecialCharacterInIdTest","User should not be able to create a Project with special characters in ID",""
"passed","Thu Mar 27 18:56:35 GMT 2025","Thu Mar 27 18:56:35 GMT 2025","38","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userCreatesProjectWithUnderscoreInIdTest","User should be able to create a Project with an ID containing an underscore",""
"passed","Thu Mar 27 18:56:42 GMT 2025","Thu Mar 27 18:56:42 GMT 2025","175","Surefire suite","Surefire test","com.example.teamcity.api.ProjectSearchTest","com.example.teamcity.api.ProjectSearchTest","userShouldBeAbleToFindProjectByMultiWordNameTest","User should be able to find a project by its name containing multiple words",""
"passed","Thu Mar 27 18:56:38 GMT 2025","Thu Mar 27 18:56:38 GMT 2025","150","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userWithRestrictedRoleCannotCreateProjectTest","User with restricted role should not be able to create a project",""
"passed","Thu Mar 27 18:56:26 GMT 2025","Thu Mar 27 18:56:26 GMT 2025","42","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userCannotCreateProjectWithNonExistentParentProjectTest","User should not be able to create a Project with a non-existent parentProject locator",""
"passed","Thu Mar 27 18:56:38 GMT 2025","Thu Mar 27 18:56:38 GMT 2025","154","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userWithRestrictedRoleCannotCreateProjectTest","User with restricted role should not be able to create a project",""
"passed","Thu Mar 27 18:56:42 GMT 2025","Thu Mar 27 18:56:42 GMT 2025","111","Surefire suite","Surefire test","com.example.teamcity.api.ProjectSearchTest","com.example.teamcity.api.ProjectSearchTest","userShouldBeAbleToFindProjectByNameTest","User should be able to find a project by its exact name",""
