"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 29 22:02:28 GMT 2025","Sat Mar 29 22:02:28 GMT 2025","46","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userCannotCreateProjectWithSpaceAsNameTest","User should not be able to create a Project with a space as name",""
"failed","Sat Mar 29 22:02:20 GMT 2025","Sat Mar 29 22:02:20 GMT 2025","45","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userCannotCreateProjectWithEachSpecialCharacterInIdTest","User should not be able to create a Project with special characters in ID",""
"passed","Sat Mar 29 22:02:45 GMT 2025","Sat Mar 29 22:02:45 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project Admin can create Build Type for their project",""
"failed","Sat Mar 29 22:02:37 GMT 2025","Sat Mar 29 22:02:37 GMT 2025","147","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userWithAllowedRoleCanCreateProjectTest","userWithAllowedRoleCanCreateProjectTest",""
"passed","Sat Mar 29 22:02:32 GMT 2025","Sat Mar 29 22:02:32 GMT 2025","35","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userCreatesProjectWithDigitsOnlyNameTest","User should be able to create a Project with a name consisting only of digits",""
"passed","Sat Mar 29 22:02:44 GMT 2025","Sat Mar 29 22:02:44 GMT 2025","59","Surefire suite","Surefire test","com.example.teamcity.api.ProjectSearchTest","com.example.teamcity.api.ProjectSearchTest","userShouldNotBeAbleToFindProjectByPartiallyMatchingWordsTest","User should not be able to find a project by partially matching name (e.g., using space instead of dash)",""
"passed","Sat Mar 29 22:02:24 GMT 2025","Sat Mar 29 22:02:24 GMT 2025","81","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userCannotCreateProjectWithEmptyNameTest","User should not be able to create Project with empty name",""
"passed","Sat Mar 29 22:02:24 GMT 2025","Sat Mar 29 22:02:24 GMT 2025","195","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userCannotCreateProjectWithEmptyParentProjectLocatorTest","User should not be able to create a Project if parent project locator is empty",""
"failed","Sat Mar 29 22:02:22 GMT 2025","Sat Mar 29 22:02:22 GMT 2025","60","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userCannotCreateProjectWithEachSpecialCharacterInIdTest","User should not be able to create a Project with special characters in ID",""
"passed","Sat Mar 29 22:02:29 GMT 2025","Sat Mar 29 22:02:31 GMT 2025","1971","Surefire suite","Surefire test","com.example.teamcity.api.ProjectCrudTest","com.example.teamcity.api.ProjectCrudTest","userCreatesNestedProjectsTest","User should be able to create nested projects",""
